,Toulouse/Seminaire,Auterive,Bagneres de Luchon,Bessieres,Blagnac,Carbonne,Cazeres,Cugnaux,Escalquens,Fenouillet,Fonsorbes,Fronton,L Isle en Dodon,Leguevin,Levignac,Montrejeau,Muret,Pibrac,Plaisance du Touch,Portet sur Garonne,Revel,Rieumes,Saint-Gaudens,Salies du Salat/Mane,Toulouse/Grande-Bretagne(Casselardit),Toulouse/Malepere,Toulouse/Negogousses(Les Arenes),Tournefeuille,Villefranche de Lauragais,METRO,Auchan Gramont,Leclerc St Orens,Super U Flourens,Leclerc Blagnac,Leclerc Rouffiac,Carrefour Supply Chain
Montrejeau,110453.5,90568.1,39585.2,140498.4,111773.3,66281.6,56613.1,94403.4,114621.9,114846.7,93705.4,124005.4,48860.6,100564.4,96432.2,0.0,87898.3,105929.1,99173.1,98081.1,144699.3,76203.7,15844.4,37252.8,104716.5,108339.9,103294.0,101116.6,115531.90000000001,111564.9,113140.9,108819.8,114969.9,110981.9,119359.1,101896.3
Muret,26553.6,28280.2,122691.0,56598.5,27873.4,26009.0,41484.6,10296.6,30722.0,30946.8,17885.2,51885.6,51188.4,23969.7,30691.0,88349.2,0.0,22784.7,15066.2,10925.3,69474.9,22097.2,74912.7,61626.5,20816.6,24440.0,19394.1,17009.7,49647.9,27665.0,29241.0,24919.9,31070.0,27082.0,35459.2,17789.5
Pibrac,19535.4,42589.9,140654.90000000002,46278.0,12452.9,43972.9,59448.5,14734.4,33738.6,20626.3,12233.6,34231.1,57080.1,5975.6,10732.0,105937.4,22713.2,0.0,9291.1,21472.8,70576.5,30866.300000000003,92876.6,79590.4,14740.6,25541.6,16019.2,10322.4,52664.5,19027.9,25866.1,26021.5,32171.6,10664.7,28441.0,6203.9
Plaisance du Touch,16279.0,34657.2,133046.7,46862.2,14913.9,36364.7,51840.299999999996,7126.2,27904.1,21327.8,7174.9,41253.0,51928.9,8903.5,17235.9,98704.9,15105.0,9329.5,0.0,13662.0,66656.9,25715.1,85268.4,71982.2,11484.199999999999,21622.0,9552.3,2062.4,46830.0,18049.7,19399.3,22101.9,28252.1,14122.5,25184.6,4334.3
Portet sur Garonne,15641.6,27538.5,133092.7,45686.600000000006,16961.4,36410.7,51886.299999999996,7417.5,19810.1,20034.9,19113.2,40973.7,61590.0,21729.3,30190.7,98750.8,11011.8,22192.7,13851.0,0.0,58562.9,32498.8,85314.4,72028.2,9904.6,13528.0,8482.1,11988.4,38736.0,16753.0,18329.0,14008.0,20158.1,16170.1,24547.2,16132.0
Revel,56773.5,53801.8,178867.7,63915.4,66776.2,82185.70000000001,97661.3,63436.4,39805.9,61087.1,75225.70000000001,75215.0,117531.1,76029.0,81198.0,144525.8,68605.8,72798.5,67872.20000000001,58769.0,0.0,88288.8,131089.40000000002,117803.20000000001,60510.4,44827.3,59087.9,66009.6,29114.5,58636.5,51661.9,44822.9,39542.0,65984.9,56666.5,70153.20000000001
Rieumes,41668.0,35459.5,110276.70000000001,72370.1,40302.9,18619.0,30244.1,26942.2,48813.9,46716.8,18423.3,62957.9,29091.2,25725.0,35041.4,75934.8,22090.2,30647.0,25507.9,32273.0,87566.70000000001,0.0,62498.4,49212.2,36873.2,42531.8,34941.3,27451.4,60423.3,43438.7,44849.799999999996,43011.7,49161.8,39511.5,50692.5,27750.2
Saint-Gaudens,96611.9,76726.6,47778.3,126656.8,97931.7,52440.1,42771.5,80561.8,100780.3,101005.1,80785.4,114993.5,39848.7,88087.1,87420.29999999999,15521.7,74056.7,93009.1,85331.5,84239.5,130857.8,62362.1,0.0,21408.4,90874.9,94498.3,89452.4,87275.0,101690.40000000001,97723.29999999999,99299.29999999999,94978.2,101128.3,97140.4,105517.5,88054.7
Salies du Salat/Mane,83435.9,63550.5,63554.0,113480.8,84755.7,39264.0,29595.5,67385.8,87604.3,87829.1,67609.4,108767.90000000001,47543.8,74911.1,84227.5,37093.7,60880.7,79833.1,72155.5,71063.5,117681.7,49186.1,21572.0,0.0,77698.8,81322.2,76276.4,74098.9,88514.3,84547.2,86123.29999999999,81802.2,87952.3,83964.3,92341.5,74878.7
Toulouse/Grande-Bretagne(Casselardit),7956.9,35471.4,139991.1,38434.5,7963.7,43309.1,58784.7,13298.6,19292.1,12775.5,18301.3,33721.6,63055.3,16425.5,21594.5,105649.2,19714.2,13195.0,11126.4,11595.9,55835.9,36841.5,92212.8,78926.6,0.0,10801.0,2494.4,9263.8,41052.1,6848.4,12341.3,11280.9,17431.0,7172.4,16862.5,11355.6
Toulouse/Malepere,14026.4,39535.7,144055.40000000002,35531.4,22739.9,47373.4,62849.0,18609.1,8491.1,18340.0,30219.800000000003,39278.8,72552.7,31201.7,36370.7,109713.5,23778.5,27971.2,23044.9,13941.7,45034.9,43461.5,96277.1,82990.8,15683.1,0.0,14260.6,21182.3,30580.3,15889.3,8914.8,689.9,7617.299999999999,21948.6,15115.0,25325.9
Toulouse/Negogousses(Les Arenes),9983.2,33264.0,137783.6,38020.8,10053.8,41101.6,56577.2,10804.2,19918.8,14376.5,16812.6,35315.3,61569.2,18515.6,23684.6,103441.8,17506.8,15285.1,9640.3,9388.5,58402.5,35355.399999999994,90005.3,76719.1,2566.6,13367.6,0.0,7777.7,38844.7,9415.0,9846.9,13847.5,19997.6,9262.5,17604.3,11921.3
Tournefeuille,14216.6,32661.9,134696.3,44799.799999999996,12851.5,38014.4,53490.0,6252.4,25841.7,19265.4,9444.9,39190.6,54198.9,10885.9,18202.300000000003,100354.5,16754.699999999997,10295.900000000001,2388.9,11599.6,64594.5,27985.1,86918.0,73631.79999999999,9421.8,19559.6,7489.9,0.0,44767.6,15987.3,17336.8,20039.5,26189.7,12060.1,23122.2,4143.6
Villefranche de Lauragais,41113.9,24941.1,150007.0,62619.0,46640.1,53325.0,68800.6,42509.3,22572.0,45427.5,54120.0,66366.3,88670.4,55101.9,60270.9,115665.1,47678.7,51871.4,46945.1,37841.9,29578.1,60405.9,102228.70000000001,88942.5,39583.3,30203.2,38160.8,45082.5,0.0,42976.9,36002.3,30683.1,34964.7,45848.8,42202.5,49226.1
METRO,3731.2,39875.6,144395.3,31578.800000000003,8435.2,47713.3,63188.9,18949.0,24274.9,5927.1,23894.199999999997,26865.9,68648.2,22018.5,26555.5,110053.4,24118.4,18351.0,16719.3,16000.1,58688.5,42434.399999999994,96617.0,83330.8,7086.1,15839.8,8947.7,14856.8,43071.7,0.0,8667.9,16319.7,19166.3,7643.8,10831.0,16948.6
Auchan Gramont,6668.9,43068.4,147588.0,28173.9,16632.7,50906.0,66381.59999999999,20608.6,17483.9,10982.5,26617.0,31921.3,71373.59999999999,28246.699999999997,33489.0,113246.2,27311.199999999997,25016.300000000003,19444.699999999997,19192.9,51897.5,45159.799999999996,99809.7,86523.5,12371.0,9048.8,9804.4,17582.1,36280.6,8531.8,0.0,9528.7,12375.3,15841.3,7757.4,21725.699999999997
Leclerc St Orens,14488.6,39997.9,144517.6,35993.6,23202.1,47835.6,63311.2,19071.3,8308.1,18802.2,30682.0,39741.0,73014.9,31663.9,36832.9,110175.7,24240.7,28433.4,23507.1,14403.9,44851.9,43923.7,96739.3,83453.1,16145.3,672.1,14722.8,21644.5,31042.5,16351.5,9377.0,0.0,6927.4,22410.8,15577.2,25788.1
Super U Flourens,17270.4,46112.3,150632.0,38775.4,27234.2,53950.0,69425.6,25185.7,12703.2,21584.0,36796.4,42522.8,79129.3,37778.3,42947.3,116290.1,30355.1,34547.8,29621.5,20518.3,39522.2,50038.1,102853.7,89567.5,22259.7,8698.1,20837.2,27759.0,35803.4,19133.3,12158.8,9178.0,0.0,26442.9,18359.0,31902.6
Leclerc Blagnac,10745.9,41275.4,145795.0,39177.4,1925.4,49113.1,64588.7,17486.3,27183.899999999998,13525.7,22123.5,27130.5,66579.7,16682.800000000003,18911.7,111453.2,25518.2,10707.2,14948.6,17399.9,63727.7,40663.7,98016.7,84730.5,7891.799999999999,18692.8,9753.3,13086.1,46856.1,8500.4,17168.3,19172.699999999997,25322.8,0.0,19331.4,15177.9
Leclerc Rouffiac,9472.5,49664.2,154183.8,21677.6,19436.3,57501.8,72977.40000000001,28737.6,24676.4,14043.3,32926.1,28958.6,77680.1,31050.3,36976.0,119842.0,33907.0,27819.9,25751.2,25788.7,55739.1,51466.3,106405.5,93119.3,16874.7,16241.3,18277.699999999997,23888.6,43473.2,11335.4,8473.3,16721.2,19567.9,18644.9,0.0,25980.4
Carrefour Supply Chain,16580.8,36780.4,135790.2,47164.0,15215.7,39108.2,54583.799999999996,9869.6,29960.2,21629.7,9397.5,40383.4,54244.0,7054.8,14058.7,101448.3,17848.5,6152.3,4426.4,15718.1,67621.9,27937.7,88011.9,74725.7,11786.0,22587.0,11608.4,4118.5,48886.1,18351.5,21455.3,23066.9,29217.0,14424.4,25486.4,0.0
