,assignments,week1,week2,total
72,"(1, 1, 2, 1, 2, 1, 2, 1)",1788.329,1652.306,3440.635
73,"(1, 1, 2, 2, 2, 1, 1, 1)",1761.606,1588.397,3350.0029999999997
74,"(1, 1, 2, 2, 2, 2, 2, 1)",1775.248,1699.404,3474.652
75,"(1, 2, 1, 1, 2, 2, 1, 2)",1663.427,1599.938,3263.365
76,"(1, 1, 2, 1, 2, 2, 1, 1)",1749.978,1722.744,3472.7219999999998
77,"(1, 1, 2, 2, 1, 1, 2, 1)",1808.648,1567.039,3375.687
78,"(1, 2, 1, 2, 2, 1, 1, 2)",1720.367,1746.68,3467.047
79,"(1, 1, 2, 2, 2, 2, 1, 1)",1713.123,1704.775,3417.898
80,"(1, 1, 2, 2, 1, 1, 1, 2)",1757.885,1538.34,3296.225
81,"(1, 2, 2, 1, 1, 2, 2, 2)",1765.244,1697.551,3462.795
82,"(1, 1, 1, 2, 2, 2, 2, 1)",1661.908,1675.161,3337.069
83,"(1, 1, 1, 2, 1, 1, 2, 1)",1813.152,1555.777,3368.929
84,"(1, 2, 1, 2, 1, 1, 2, 1)",1803.605,1624.688,3428.293
85,"(1, 2, 1, 1, 1, 1, 2, 1)",1985.7,1534.02,3519.7200000000003
86,"(1, 1, 1, 2, 2, 1, 1, 2)",1802.35,1553.805,3356.1549999999997
87,"(1, 1, 2, 2, 2, 2, 1, 2)",1816.372,1853.583,3669.955
88,"(1, 2, 1, 2, 2, 1, 2, 1)",1827.365,1608.002,3435.367
89,"(1, 1, 1, 1, 1, 2, 1, 2)",1858.506,1593.641,3452.147
90,"(1, 1, 2, 1, 2, 1, 2, 2)",1754.902,1571.787,3326.6890000000003
91,"(1, 2, 2, 1, 1, 1, 2, 1)",1783.669,1570.049,3353.718
92,"(1, 1, 1, 1, 2, 1, 1, 1)",1866.418,1674.691,3541.109
93,"(1, 2, 1, 1, 2, 1, 2, 2)",1764.182,1568.633,3332.815
94,"(1, 2, 1, 1, 2, 1, 1, 1)",1788.424,1553.448,3341.8720000000003
95,"(1, 2, 2, 2, 1, 2, 2, 1)",1714.607,1764.311,3478.9179999999997
96,"(1, 2, 1, 1, 1, 2, 2, 2)",1810.841,1692.957,3503.798
97,"(1, 1, 2, 1, 1, 1, 1, 1)",1867.587,1472.897,3340.484
98,"(1, 1, 1, 1, 1, 1, 2, 1)",1922.197,1493.128,3415.325
99,"(1, 1, 1, 2, 1, 1, 2, 2)",1837.414,1571.211,3408.625
100,"(1, 2, 1, 1, 2, 1, 2, 1)",1789.038,1557.329,3346.367
101,"(1, 1, 1, 1, 1, 2, 1, 1)",1799.419,1489.704,3289.123
102,"(1, 2, 1, 2, 2, 1, 1, 1)",1828.227,1643.784,3472.0110000000004
103,"(1, 1, 2, 2, 1, 1, 1, 1)",1875.371,1551.81,3427.181
104,"(1, 1, 1, 2, 2, 1, 2, 2)",1906.373,1584.814,3491.187
105,"(1, 2, 1, 2, 1, 2, 1, 1)",1746.87,1641.817,3388.687
106,"(1, 1, 1, 1, 2, 2, 2, 1)",1812.949,1616.388,3429.337
107,"(1, 2, 2, 2, 1, 1, 2, 2)",1847.372,1725.905,3573.277
108,"(1, 1, 1, 2, 1, 2, 2, 1)",1780.199,1559.285,3339.4840000000004
109,"(1, 1, 2, 1, 1, 2, 2, 1)",1783.517,1605.377,3388.8940000000002
110,"(1, 2, 2, 2, 2, 2, 2, 2)",1658.513,1919.684,3578.197
111,"(1, 2, 1, 2, 2, 1, 2, 2)",1778.529,1759.16,3537.6890000000003
112,"(1, 2, 2, 1, 1, 1, 1, 1)",1806.455,1547.895,3354.35
113,"(1, 1, 1, 2, 2, 2, 1, 2)",1910.74,1678.467,3589.2070000000003
114,"(1, 2, 1, 2, 1, 1, 1, 2)",1826.868,1599.588,3426.456
115,"(1, 1, 2, 2, 1, 1, 2, 2)",1822.695,1580.737,3403.432
116,"(1, 1, 2, 1, 2, 1, 1, 2)",1919.046,1405.304,3324.3500000000004
117,"(1, 2, 1, 2, 1, 2, 2, 2)",1796.839,1731.538,3528.377
118,"(1, 1, 1, 1, 2, 1, 2, 2)",1844.934,1582.312,3427.246
119,"(1, 1, 2, 1, 2, 2, 1, 2)",1794.536,1625.978,3420.514
120,"(1, 1, 1, 2, 1, 2, 1, 2)",1745.907,1608.675,3354.582
121,"(1, 1, 1, 1, 1, 1, 2, 2)",1812.83,1496.939,3309.7690000000002
122,"(1, 2, 1, 2, 2, 2, 2, 1)",1617.858,1693.924,3311.782
123,"(1, 2, 2, 1, 2, 2, 2, 1)",1748.011,1715.253,3463.264
124,"(1, 1, 1, 2, 2, 2, 1, 1)",1744.964,1655.453,3400.417
125,"(1, 2, 1, 1, 1, 1, 1, 1)",2043.33,1537.133,3580.4629999999997
126,"(1, 2, 1, 1, 1, 1, 2, 2)",1913.007,1558.053,3471.0600000000004
127,"(1, 2, 2, 2, 1, 2, 1, 2)",1596.512,1822.74,3419.252
